#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), H2 (1/s)

          30 ,          30
 -0.14482759E+001  0.70344828E+001 -0.24168874E+002
 -0.14482759E+001  0.72758621E+001 -0.24545667E+002
 -0.14482759E+001  0.75172414E+001 -0.24922893E+002
 -0.14482759E+001  0.77586207E+001 -0.25300535E+002
 -0.14482759E+001  0.80000000E+001 -0.25678577E+002
 
 -0.10344828E+001  0.10000000E+001 -0.17529572E+002
 -0.10344828E+001  0.12413793E+001 -0.17435158E+002
 -0.10344828E+001  0.14827586E+001 -0.17352762E+002
 -0.10344828E+001  0.17241379E+001 -0.17322823E+002
 -0.10344828E+001  0.19655172E+001 -0.17300789E+002
 -0.10344828E+001  0.22068966E+001 -0.17278249E+002
 -0.10344828E+001  0.24482759E+001 -0.17309021E+002
 -0.10344828E+001  0.26896552E+001 -0.17418366E+002
 -0.10344828E+001  0.29310345E+001 -0.17616443E+002
 -0.10344828E+001  0.31724138E+001 -0.17889237E+002
 -0.10344828E+001  0.34137931E+001 -0.18210466E+002
 -0.10344828E+001  0.36551724E+001 -0.18557897E+002
 -0.10344828E+001  0.38965517E+001 -0.18918186E+002
 -0.10344828E+001  0.41379310E+001 -0.19284615E+002
 -0.10344828E+001  0.43793103E+001 -0.19654078E+002
 -0.10344828E+001  0.46206897E+001 -0.20025186E+002
 -0.10344828E+001  0.48620690E+001 -0.20397319E+002
 -0.10344828E+001  0.51034483E+001 -0.20770191E+002
 -0.10344828E+001  0.53448276E+001 -0.21143670E+002
 -0.10344828E+001  0.55862069E+001 -0.21517690E+002
 -0.10344828E+001  0.58275862E+001 -0.21892218E+002
 -0.10344828E+001  0.60689655E+001 -0.22267234E+002
 -0.10344828E+001  0.63103448E+001 -0.22642725E+002
 -0.10344828E+001  0.65517241E+001 -0.23018681E+002
 -0.10344828E+001  0.67931034E+001 -0.23395092E+002
 -0.10344828E+001  0.70344828E+001 -0.23771946E+002
 -0.10344828E+001  0.72758621E+001 -0.24149231E+002
 -0.10344828E+001  0.75172414E+001 -0.24526931E+002
 -0.10344828E+001  0.77586207E+001 -0.24905029E+002
 -0.10344828E+001  0.80000000E+001 -0.25283503E+002
 
 -0.62068966E+000  0.10000000E+001 -0.17115779E+002
 -0.62068966E+000  0.12413793E+001 -0.17021365E+002
 -0.62068966E+000  0.14827586E+001 -0.16938969E+002
 -0.62068966E+000  0.17241379E+001 -0.16909086E+002
 -0.62068966E+000  0.19655172E+001 -0.16893708E+002
 -0.62068966E+000  0.22068966E+001 -0.16871996E+002
 -0.62068966E+000  0.24482759E+001 -0.16903197E+002
 -0.62068966E+000  0.26896552E+001 -0.17012914E+002
 -0.62068966E+000  0.29310345E+001 -0.17211393E+002
 -0.62068966E+000  0.31724138E+001 -0.17484632E+002
 -0.62068966E+000  0.34137931E+001 -0.17806335E+002
 -0.62068966E+000  0.36551724E+001 -0.18154255E+002
 -0.62068966E+000  0.38965517E+001 -0.18515045E+002
 -0.62068966E+000  0.41379310E+001 -0.18881982E+002
 -0.62068966E+000  0.43793103E+001 -0.19251962E+002
 -0.62068966E+000  0.46206897E+001 -0.19623593E+002
 -0.62068966E+000  0.48620690E+001 -0.19996254E+002
 -0.62068966E+000  0.51034483E+001 -0.20369659E+002
 -0.62068966E+000  0.53448276E+001 -0.20743673E+002
 -0.62068966E+000  0.55862069E+001 -0.21118228E+002
 -0.62068966E+000  0.58275862E+001 -0.21493289E+002
 -0.62068966E+000  0.60689655E+001 -0.21868834E+002
 -0.62068966E+000  0.63103448E+001 -0.22244849E+002
 -0.62068966E+000  0.65517241E+001 -0.22621320E+002
 -0.62068966E+000  0.67931034E+001 -0.22998235E+002
 -0.62068966E+000  0.70344828E+001 -0.23375579E+002
