#table for averaged Tdust
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.10344828E+001  0.12413793E+001  0.12627143E+001
 -0.10344828E+001  0.14827586E+001  0.15040937E+001
 -0.10344828E+001  0.17241379E+001  0.17454338E+001
 -0.10344828E+001  0.19655172E+001  0.18443739E+001
 -0.10344828E+001  0.22068966E+001  0.18637756E+001
 -0.10344828E+001  0.24482759E+001  0.18781838E+001
 -0.10344828E+001  0.26896552E+001  0.18911764E+001
 -0.10344828E+001  0.29310345E+001  0.19036908E+001
 -0.10344828E+001  0.31724138E+001  0.19161098E+001
 -0.10344828E+001  0.34137931E+001  0.19286256E+001
 -0.10344828E+001  0.36551724E+001  0.19413484E+001
 -0.10344828E+001  0.38965517E+001  0.19543484E+001
 -0.10344828E+001  0.41379310E+001  0.19676751E+001
 -0.10344828E+001  0.43793103E+001  0.19813672E+001
 -0.10344828E+001  0.46206897E+001  0.19954577E+001
 -0.10344828E+001  0.48620690E+001  0.20099776E+001
 -0.10344828E+001  0.51034483E+001  0.20249572E+001
 -0.10344828E+001  0.53448276E+001  0.20404281E+001
 -0.10344828E+001  0.55862069E+001  0.20564234E+001
 -0.10344828E+001  0.58275862E+001  0.20729788E+001
 -0.10344828E+001  0.60689655E+001  0.20901331E+001
 -0.10344828E+001  0.63103448E+001  0.21079286E+001
 -0.10344828E+001  0.65517241E+001  0.21264120E+001
 -0.10344828E+001  0.67931034E+001  0.21456346E+001
 -0.10344828E+001  0.70344828E+001  0.21656533E+001
 -0.10344828E+001  0.72758621E+001  0.21865313E+001
 -0.10344828E+001  0.75172414E+001  0.22083388E+001
 -0.10344828E+001  0.77586207E+001  0.22311541E+001
 -0.10344828E+001  0.80000000E+001  0.22550644E+001
 
 -0.62068966E+000  0.10000000E+001  0.10213350E+001
 -0.62068966E+000  0.12413793E+001  0.12627143E+001
 -0.62068966E+000  0.14827586E+001  0.15040937E+001
 -0.62068966E+000  0.17241379E+001  0.17454578E+001
 -0.62068966E+000  0.19655172E+001  0.18553910E+001
 -0.62068966E+000  0.22068966E+001  0.18759000E+001
 -0.62068966E+000  0.24482759E+001  0.18908625E+001
 -0.62068966E+000  0.26896552E+001  0.19042951E+001
 -0.62068966E+000  0.29310345E+001  0.19172147E+001
 -0.62068966E+000  0.31724138E+001  0.19300312E+001
 -0.62068966E+000  0.34137931E+001  0.19429499E+001
 -0.62068966E+000  0.36551724E+001  0.19560883E+001
 -0.62068966E+000  0.38965517E+001  0.19695214E+001
 -0.62068966E+000  0.41379310E+001  0.19833024E+001
 -0.62068966E+000  0.43793103E+001  0.19974729E+001
 -0.62068966E+000  0.46206897E+001  0.20120690E+001
 -0.62068966E+000  0.48620690E+001  0.20271245E+001
 -0.62068966E+000  0.51034483E+001  0.20426729E+001
 -0.62068966E+000  0.53448276E+001  0.20587488E+001
 -0.62068966E+000  0.55862069E+001  0.20753890E+001
 -0.62068966E+000  0.58275862E+001  0.20926333E+001
 -0.62068966E+000  0.60689655E+001  0.21105248E+001
